name,initiatives,count,type
Invesco,"['Climate Action 100+', 'Institutional Investors Group on Climate Change', 'Carbon Disclosure Project', 'Principles for Responsible Investment', 'Global Reporting Initiative', 'Sustainability Accounting Standards Board', 'Sustainable Development Goals', 'Task Force on Climate-related Financial Disclosure', 'Global Real Estate Sustainability Benchmark', 'UN Global Compact', 'Asia Investor Group on Climate Change', 'Climate Bonds Initiative', 'Investor Group on Climate Change', 'Net Zero Asset Managers initiative']",14,am
Value Partners,"['Stock Exchange of Hong Kong', 'Principles for Responsible Investment']",2,am
PGIM,"['Global Reporting Initiative', 'Principles for Responsible Investment', 'Task Force on Climate-related Financial Disclosure']",3,am
Aegon,"['Sustainable Development Goals', 'Climate Action 100+', 'Carbon Disclosure Project', 'Institutional Investors Group on Climate Change', 'Principles for Responsible Investment', 'Global Real Estate Sustainability Benchmark', 'UN Global Compact', 'Intergovernmental Panel on Climate Change', 'Global Reporting Initiative']",9,am
BlackRock,"['FTSE Russell', 'UN Global Compact', 'Green Bond Principles', 'Climate Bonds Initiative', 'Intergovernmental Panel on Climate Change', 'Sustainability Accounting Standards Board', 'Institutional Investors Group on Climate Change', 'Task Force on Climate-related Financial Disclosure', 'Sustainable Development Goals', 'IFC Performance Standard', 'Climate Action 100+', 'Investor Network on Climate Risk']",12,am
Schroders,"['Sustainable Development Goals', 'Science Based Targets initiative', 'Carbon Disclosure Project', 'Principles for Responsible Investment', 'Global Real Estate Sustainability Benchmark', 'International Corporate Governance Network', 'Global Reporting Initiative', 'UN Global Compact', 'Asia Investor Group on Climate Change', 'Investor Group on Climate Change', 'Institutional Investors Group on Climate Change', 'FTSE Russell', 'Task Force on Climate-related Financial Disclosure', 'Climate Action 100+']",14,am
Morgan Stanley,"['Sustainability Accounting Standards Board', 'Principles for Responsible Investment', 'Task Force on Climate-related Financial Disclosure', 'Partnership for Carbon Accounting Financials', 'Sustainable Development Goals', 'Green Bond Principles', 'Investor Network on Climate Risk', 'Carbon Disclosure Project']",8,am
JPMorgan Chase,"['Global Reporting Initiative', 'Sustainability Accounting Standards Board', 'Sustainable Development Goals', 'Principles for Responsible Investment', 'Climate Action 100+', 'Equator Principles', 'Global Real Estate Sustainability Benchmark', 'Green Bond Principles', 'Institutional Investors Group on Climate Change', 'Task Force on Climate-related Financial Disclosure', 'Center for Climate-Aligned Finance']",11,am
Ameriprise,"['Sustainability Accounting Standards Board', 'Principles for Responsible Investment', 'FTSE Russell']",3,am
AXA IM,"['Sustainable Development Goals', 'Climate Bonds Initiative', 'UN Global Compact', 'Net Zero Asset Managers initiative', 'Climate Action 100+', 'Task Force on Climate-related Financial Disclosure', 'Science Based Targets initiative', 'Carbon Disclosure Project', 'Sustainability Accounting Standards Board', 'Principles for Responsible Investment']",10,am
