,name,sentiment_score,type,difference_from_avg
57,Fullerton,0.975887980580284,am,0.14962302813199946
58,GAM,0.86154056650875,am,0.03527561406046542
59,GOLDMAN,0.8810821842510418,am,0.054817231802757216
60,HANGSENG,0.8397078745528441,am,0.013442922104559551
61,HSBCAM,0.8603422165399557,am,0.03407726409167111
62,Harbor,0.8789231108451449,am,0.05265815839686028
63,Insight,0.9373058210279201,am,0.11104086857963558
64,Invesco,0.8896538475659771,am,0.06338889511769252
65,JPMORGAN,0.8846614389601536,am,0.05839648651186902
66,Legal&General,0.8710910253192713,am,0.04482607287098672
67,Manulife,0.9046696025585017,am,0.07840465011021713
68,Mellon,0.907877362029147,am,0.08161240958086247
69,Morgan,0.8277812149771193,am,0.0015162625288347442
70,Muzinich,0.8462707688088144,am,0.020005816360529782
71,Natixis,0.7095181821819111,am,0.11674677026637348
72,Neuberger,0.8587788160813106,am,0.032513863633026
73,Ninetyone,0.8793494390396652,am,0.05308448659138065
74,PGIM,0.9096180985345899,am,0.08335314608630529
75,PICTET,0.8345626342609893,am,0.008297681812704738
76,PIMCO,0.9164766290809726,am,0.09021167663268803
77,Pinebridge,0.8586675806205358,am,0.03240262817225126
78,SMTH,0.826768155155306,am,0.0005032027070214218
79,Schroders,0.8563360037504152,am,0.030071051302130614
80,Sinopac,0.863391572155911,am,0.03712661970762643
81,TCW,0.0,am,0.8262649524482846
82,TIAA,0.8796297434247059,am,0.05336479097642133
83,TROWEPRICE,0.86029366293323,am,0.03402871048494538
84,UBS,0.9065815751818359,am,0.08031662273355133
85,UOBAM,0.8153694027821675,am,0.010895549666117055
86,VP,0.8942946120585233,am,0.06802965961023877
87,Vanguard,0.9405903911942692,am,0.11432543874598466
88,Wellington,0.9038728597568887,am,0.07760790730860412
89,AP1,0.8707211272000268,pf,0.016048762690885066
90,AP2,0.8344317360613106,pf,0.020240628447831144
91,AP3,0.8766643862927719,pf,0.021992021783630133
92,AP4,0.8599180163289633,pf,0.005245651819821506
93,AP7,0.8862369457076772,pf,0.031564581198535446
94,CPP,0.8880682707394244,pf,0.03339590623028266
95,FDC,0.8552666801512232,pf,0.0005943156420814555
96,FF,0.7500734954004908,pf,0.1045988691086509
97,GEPF,0.8261366673867749,pf,0.02853569712236681
98,GPF,0.8509403418155738,pf,0.0037320226935679823
99,GPIF,0.8574143009495997,pf,0.0027419364404579483
100,ISIF,0.8988496013320579,pf,0.04417723682291619
101,KWSP_EPF,0.7816259240386889,pf,0.07304644047045283
102,LPF,0.8271093290247717,pf,0.027563035484370002
103,NPF,0.8920656019257934,pf,0.03739323741665168
104,NZSF,0.9192354077911189,pf,0.06456304328197715
105,AIA,0.8746118874680587,ins,0.07393109191253933
106,AXA,0.8745086487939032,ins,0.07382785323838381
107,AsahiMutual,0.0,ins,0.8006807955555194
108,Cathay,0.8841313523845646,ins,0.08345055682904523
109,DGB,0.8583118283186342,ins,0.057631032763114765
110,DaiichiLife,0.852275131328191,ins,0.051594335772671585
111,FWD,0.8247786501216048,ins,0.024097854566085375
112,Fukoku,0.7139805138932787,ins,0.08670028166224075
113,JapanPost,0.7629227553603657,ins,0.03775804019515372
114,KBFG,0.9260808411217095,ins,0.1254000455661901
