,name,sentiment_score,type,difference_from_avg
101,KWSP_EPF,0.7976432400560048,pf,0.0562105603472991
102,LPF,0.8376514097579096,pf,0.016202390645394305
103,NPF,0.914230509528613,pf,0.060376709125309014
104,NZSF,0.9139042654856352,pf,0.06005046508233125
105,AIA,0.8877242785504215,ins,0.08791724105379428
106,AXA,0.8666582274858156,ins,0.06685118998918838
107,AsahiMutual,0.0,ins,0.7998070374966272
108,Cathay,0.9040949192538076,ins,0.1042878817571804
109,DGB,0.8783361624668574,ins,0.07852912497023024
110,DaiichiLife,0.8507236324421399,ins,0.050916594945512705
111,FWD,0.8123322081620051,ins,0.01252517066537795
112,Fukoku,0.7139805138932787,ins,0.08582652360334853
113,JapanPost,0.7234484108904686,ins,0.07635862660615855
114,KBFG,0.9472084098363855,ins,0.14740137233975836
