,name,sentiment_score,type,difference_from_avg
100,Asahi Life,0.0926179612084094,ins,-0.16681064358839218
101,Cathay Life,0.4218860772139663,ins,0.16245747241716474
102,DGB,0.172775354980066,ins,-0.08665324981673558
103,Daiichi Life,0.3109088412723367,ins,0.051480236475535124
104,FWD,0.20054859183353346,ins,-0.058880012963268114
105,Fukoku Life,0.10522046720280592,ins,-0.15420813759399565
106,JP Insurance,0.23991770746973604,ins,-0.01951089732706554
107,KB Financial,0.4301415812440971,ins,0.17071297644729555
108,Kyobo Life,0.23549053972391015,ins,-0.023938065072891423
109,Meiji Yasuda,0.11760468706513964,ins,-0.14182391773166192
110,Nan Shan Life,0.2461324146981111,ins,-0.013296190098690486
111,Nippon Life,0.09817071063479695,ins,-0.16125789416200464
112,Ping An,0.2659736799037911,ins,0.00654507510698954
113,Prudential,0.4375124629450185,ins,0.17808385814821692
114,Shin Kong,0.2550253669490864,ins,-0.00440323784771518
115,Sun Life,0.31833887409310163,ins,0.058910269296300055
116,Taiwan Life,0.22540827518199924,ins,-0.034020329614802336
117,Tokio Marine,0.3958227308103374,ins,0.13639412601353584
